WATCODE,STATE HERITAGE FISH WATER,ALTERNATE NAME,TOWN,COUNTY,REGION,STATE HERITAGE FISH,*LAST YEAR STOCKED
3638,GILMAN P,,MORO PLT,AROOSTOOK,G,BKT,NRS
3646,GRASS P,,MORO PLT,AROOSTOOK,G,BKT,NRS
3648,GREEN P,,MORO PLT,AROOSTOOK,G,BKT,1917
9470,GREY P,,T12 R12 WELS,AROOSTOOK,G,BKT,NRS
1498,HAFEY P,,T18 R11 WELS,AROOSTOOK,G,BKT,NRS
1934,HARROW L,,T10 R12 WELS,PISCATAQUIS,G,BKT,NRS
9277,HORSESHOE P,,T16 R9 WELS,AROOSTOOK,G,BKT,NRS
1926,HORSESHOE P,,T11 R10 WELS,AROOSTOOK,G,BKT,1966
1554,HUNNEWELL L,,SAINT JOHN PLT,AROOSTOOK,G,BKT,1976
1632,ISIE L,,EAGLE LAKE,AROOSTOOK,G,BKT,NRS
1516,ISLAND P,,T15 R9 WELS,AROOSTOOK,G,BKT,NRS
2740,ISLAND P (UPPER),,T10 R10 WELS,PISCATAQUIS,G,BKT,NRS
1500,JONES P,,BIG TWENTY TWP,AROOSTOOK,G,BKT,NRS
1002,KETCHUM L,,TD R2 WELS,AROOSTOOK,G,BKT,NRS
9775,LAMBERT P,,NEW LIMERICK,AROOSTOOK,G,BKT,NRS
2764,LEADBETTER P,,T9 R11 WELS,PISCATAQUIS,G,BKT,NRS
1822,LINDSAY L,,EASTON,AROOSTOOK,G,BKT,NRS
1924,LOST P,,T11 R10 WELS,AROOSTOOK,G,BKT,1967
1650,MARCUM P,,FORT KENT,AROOSTOOK,G,BKT,NRS
1858,MARTIN L,,CASWELL,AROOSTOOK,G,BKT,NRS
1660,MCCLUSKY L,,T14 R5 WELS,AROOSTOOK,G,BKT,NRS
1962,MCGOWAN P,,T11 R8 WELS,AROOSTOOK,G,BKT,NRS
1476,MCKEEN L,,T14 R10 WELS,AROOSTOOK,G,BKT,NRS
1550,MCLEAN L,,SAINT FRANCIS,AROOSTOOK,G,BKT,NRS
1992,MCPHERSON P,,T10 R10 WELS,PISCATAQUIS,G,BKT,NRS
9800,MIDDLE BROOK P,,T9 R9 WELS,PISCATAQUIS,G,BKT,NRS
1982,MINK MARSH P,,T11 R10 WELS,AROOSTOOK,G,BKT,NRS
1990,MOOSELEUK L,,T10 R9 WELS,PISCATAQUIS,G,BKT,NRS
1604,MOSQUITO BROOK P,,T14 R7 WELS,AROOSTOOK,G,BKT,NRS
4180,MUNSUNGAN L,,T8 R9 WELS,PISCATAQUIS,G,BKT,1940
1920,MUSQUACOOK L (4TH),,T10 R11 WELS,PISCATAQUIS,G,BKT,NRS
9781,NORTH P,,T14 R9 WELS,AROOSTOOK,G,BKT,NRS
4186,NORWAY P,,T3 R10 WELS,PISCATAQUIS,G,BKT,NRS
5774,PEAKED MOUNTAIN P,,T10 R11 WELS,PISCATAQUIS,G,BKT,NRS
1564,PELLETIER B L (1ST),,T16 R9 WELS,AROOSTOOK,G,BKT,NRS
1566,PELLETIER B L (2ND),,T16 R9 WELS,AROOSTOOK,G,BKT,NRS
1560,PELLETIER B L (3RD),,T16 R9 WELS,AROOSTOOK,G,BKT,NRS
1562,PELLETIER B L (4TH),,T16 R9 WELS,AROOSTOOK,G,BKT,NRS
1504,PELLETIER B L (5TH),,T15 R9 WELS,AROOSTOOK,G,BKT,NRS
